Pokemon,Method,Location,Location Index,Time,Before Gym,Notes,AyTales Testing,Common,Uncommon,Rare,Woke AF,First Encounter,Permanent Encounter,Unique Encounter,Type 1,Type 2,Evo Types,First Stage,Evolutions,Final Evolution
Cherubi,Land,Lower Peridot Ward,00004 Lower Peridot Ward,"Morning, Day",001 - Julia,,X,Miracle Seed,,,,Y,N,Y,Grass,,,Y,1,
Hoothoot,Land,Lower Peridot Ward,00004 Lower Peridot Ward,Night,001 - Julia,,,,,,,N,N,N,Normal,Flying,,Y,1,
Spinarak,Land,Lower Peridot Ward,00004 Lower Peridot Ward,Night,001 - Julia,,,,,,,N,N,N,Bug,Poison,,Y,1,
Stunky,Land,Lower Peridot Ward,00004 Lower Peridot Ward,Night,001 - Julia,,X,,,,,Y,N,Y,Poison,Dark,,Y,1,
Trubbish,Land,Lower Peridot Ward,00004 Lower Peridot Ward,Night,001 - Julia,,X,Silk Scarf,Black Sludge,,,Y,N,Y,Poison,,,Y,1,
Finneon,Old Rod,Lower Peridot Ward,00004 Lower Peridot Ward,Any,001 - Julia,,X,,,,,Y,N,Y,Water,,,Y,1,
Goldeen,Old Rod,Lower Peridot Ward,00004 Lower Peridot Ward,Any,001 - Julia,,X,Mystic Water,,,,Y,N,Y,Water,,,Y,1,
Grimer,Old Rod,Lower Peridot Ward,00004 Lower Peridot Ward,Any,001 - Julia,,X,Black Sludge,,,,Y,N,Y,Poison,,,Y,1,
Poochyena,Cave,Lower Peridot Alley,00005 Lower Peridot Alley,Any,001 - Julia,,X,,,,,Y,N,Y,Dark,,,Y,1,
Stunky,Cave,Lower Peridot Alley,00005 Lower Peridot Alley,Any,001 - Julia,,,,,,,N,N,N,Poison,Dark,,Y,1,
Trubbish,Cave,Lower Peridot Alley,00005 Lower Peridot Alley,Any,001 - Julia,,,Silk Scarf,Black Sludge,,,N,N,N,Poison,,,Y,1,
Tynamo,Event,Lower Peridot Alley,00005 Lower Peridot Alley,Any,001 - Julia,Thunderstorm,X,,,,,Y,N,Y,Electric,,,Y,2,
Igglybuff,Event,Peridot Ward,00006 Peridot Ward,Any,001 - Julia,"Enter lady's house in fountain square and talk to her, then enter abandoned tall building east of railroad, head back to ladies house in the fountain square Unique OT",X,,,,,Y,N,Y,Normal,Fairy,,Y,2,
Budew,Event,Peridot Ward,00006 Peridot Ward,Any,001 - Julia,"Follow traintracks all the way North, holding Rose Incense Unique OT",X,,,,,Y,N,Y,Grass,Poison,,Y,2,
Surskit,Event,Peridot Ward,00006 Peridot Ward,Any,001 - Julia,"Raining, Fountain",X,,,,,Y,N,Y,Bug,Water,Bug Flying,Y,1,
Munna,Event,Peridot Ward,00006 Peridot Ward,Any,001 - Julia,Trade Bibarel Unique OT,X,,,,,Y,N,Y,Psychic,,,Y,1,
Grubbin,Event,Peridot Ward,00006 Peridot Ward,Night,001 - Julia,50%,O,,,,,Y,N,Y,Bug,,Bug Electric,Y,2,
Joltik,Event,Peridot Ward,00006 Peridot Ward,Night,001 - Julia,50%,X,,,,,Y,N,Y,Bug,Electric,,Y,1,
Drifloon,Event,Peridot Ward,00006 Peridot Ward,Night,001 - Julia,"Monoghost Only, Replaces Grubbin/Joltik encounter",O,,,,,Y,N,Y,Ghost,,,Y,1,
Poochyena,Cave,North Peridot Alley,00007 North Peridot Alley,Any,001 - Julia,,,,,,,N,N,N,Dark,,,Y,1,
Purrloin,Cave,North Peridot Alley,00007 North Peridot Alley,Any,001 - Julia,,X,,,,,Y,N,Y,Dark,,,Y,1,
Trubbish,Cave,North Peridot Alley,00007 North Peridot Alley,Any,001 - Julia,,,Silk Scarf,Black Sludge,,,N,N,N,Poison,,,Y,1,
Noibat,Cave,Underground Railnet,00008 Underground Railnet,Any,001 - Julia,,X,,,,,Y,N,Y,Flying,Dragon,,Y,1,
Stunky,Cave,Underground Railnet,00008 Underground Railnet,Any,001 - Julia,,,,,,,N,N,N,Poison,Dark,,Y,1,
Woobat,Cave,Underground Railnet,00008 Underground Railnet,Any,001 - Julia,,X,,,,,Y,N,Y,Psychic,Flying,,Y,1,
Porygon,Event,Grand Hall,,Any,001 - Julia,monowoke password,,,,,Yes,Y,N,Y,Normal,,,Y,2,
Numel,Event,Lower Peridot Ward,00004 Lower Peridot Ward,Any,002 - Florinia,"Pokesnax, Raining",X,,,,,Y,N,Y,Fire,Ground,,Y,1,
Onix,Event,Lower Peridot Ward,00004 Lower Peridot Ward,Any,002 - Florinia,"Talk to Landlord and then Hiker, go back to house Unique OT",X,,,,,Y,N,Y,Rock,Ground,Steel Ground,Y,1,
Klink,Cave,Underground Railnet,00008 Underground Railnet,Any,002 - Florinia,,X,,,,Yes,Y,N,Y,Steel,,,Y,2,
Vanillite,Event,Obsidia Ward,00009 Obsidia Ward,Any,002 - Florinia,Get chocolate ice cream from Pickup or sunny day vendor in front of the Grand Hall,X,,,,,Y,N,Y,Ice,,,Y,2,
Glameow,Event,Obsidia Ward,00009 Obsidia Ward,Any,002 - Florinia,Get pricing information for the Southern Obsidia Ward hair stylist Unique OT,X,,,,,Y,N,Y,Normal,,,Y,1,
Bounsweet,Event,Obsidia Ward,00009 Obsidia Ward,Any,002 - Florinia,"Show Glameow to Hair Salon lady, fight Lv 45 Tsareena",X,,,,,Y,N,Y,Grass,,,Y,2,
Swirlix,Event,Obsidia Ward,00009 Obsidia Ward,Any,002 - Florinia,Swirlix Tile Puzzle Unique OT,X,,,,,Y,N,Y,Fairy,,,Y,1,
Castform,Event,Obsidia Ward,00009 Obsidia Ward,Any,002 - Florinia,Trade Furret Unique OT,X,,,,,Y,N,Y,Normal,,,Y,-,Y
Hoppip,Event,Obsidia Ward,00009 Obsidia Ward,Any,002 - Florinia,Windy,X,,,,,Y,N,Y,Grass,Flying,,Y,2,
Bellsprout,Land,Obsidia Ward,00009 Obsidia Ward,Any,002 - Florinia,,X,,,,,Y,N,Y,Grass,Poison,,Y,2,
Oddish,Land,Obsidia Ward,00009 Obsidia Ward,Any,002 - Florinia,,X,Absorb Bulb,,,,Y,N,Y,Grass,Poison,Grass,Y,2,
Bonsly,Land,Obsidia Ward,00009 Obsidia Ward,"Day, Night",002 - Florinia,,X,,,,,Y,N,Y,Rock,,,Y,1,
Venonat,Land,Obsidia Ward,00009 Obsidia Ward,"Day, Night",002 - Florinia,,X,,,,,Y,N,Y,Bug,Poison,,Y,1,
Buneary,Land,Obsidia Ward,00009 Obsidia Ward,"Morning, Day",002 - Florinia,,X,,,,,Y,N,Y,Normal,,Normal Fighting,Y,1,
Sentret,Land,Obsidia Ward,00009 Obsidia Ward,"Morning, Day",002 - Florinia,,X,,,,,Y,N,Y,Normal,,,Y,1,
Slakoth,Land,Obsidia Ward,00009 Obsidia Ward,"Morning, Day",002 - Florinia,,X,,,,,Y,N,Y,Normal,,,Y,2,
Sunflora,Land,Obsidia Ward,00009 Obsidia Ward,"Morning, Day",002 - Florinia,,X,,,,,Y,N,Y,Grass,,,,0,Y
Sunkern,Land,Obsidia Ward,00009 Obsidia Ward,"Morning, Day",002 - Florinia,,X,,,,,N,N,N,Grass,,,Y,1,
Hoothoot,Land,Obsidia Ward,00009 Obsidia Ward,Night,002 - Florinia,,,,,,,N,N,N,Normal,Flying,,Y,1,
Slakoth,Cave,Obsidia Slums,00010 Obsidia Slums,Any,002 - Florinia,1F,,,,,,N,N,N,Normal,,,Y,2,
Mankey,Cave,Obsidia Slums,00010 Obsidia Slums,Any,002 - Florinia,"1F, B1F, 2F",X,,,,,Y,N,Y,Fighting,,,Y,1,
Pancham,Cave,Obsidia Slums,00010 Obsidia Slums,Any,002 - Florinia,"1F, B1F, 2F",X,Mental Herb,,,,Y,N,Y,Fighting,,Fighting Dark,Y,1,
Pidove,Cave,Obsidia Slums,00010 Obsidia Slums,Any,002 - Florinia,"1F, B1F, 2F",X,,,,,Y,N,Y,Normal,Flying,,Y,2,
Trubbish,Cave,Obsidia Slums,00010 Obsidia Slums,Any,002 - Florinia,"1F, B1F, 2F",,Silk Scarf,Black Sludge,,,N,N,N,Poison,,,Y,1,
Yungoos,Cave,Obsidia Slums,00010 Obsidia Slums,Any,002 - Florinia,"1F, B1F, 2F",X,Pecha Berry,,,,Y,N,Y,Normal,,,Y,1,
Meowth,Cave,Obsidia Slums,00010 Obsidia Slums,Any,002 - Florinia,2F,,Quick Claw,,,,N,N,N,Normal,,,Y,1,
Crabrawler,Cave,Obsidia Slums,00010 Obsidia Slums,Any,002 - Florinia,B1F,X,Aspear Berry,,,,Y,N,Y,Fighting,,Fighting Ice,Y,1,
Bronzor,Event,Obsidia Slums,00010 Obsidia Slums,Any,002 - Florinia,33% Chance - Egg,O,,,,Yes,Y,N,Y,Steel,Psychic,,Y,1,
Drowzee,Event,Obsidia Slums,00010 Obsidia Slums,Any,002 - Florinia,33% Chance - Egg,O,,,,,Y,N,Y,Psychic,,,Y,1,
Ducklett,Event,Obsidia Slums,00010 Obsidia Slums,Any,002 - Florinia,33% Chance - Egg,O,,,,,Y,N,Y,Water,Flying,,Y,1,
Spoink,Event,Obsidia Slums,00010 Obsidia Slums,Any,002 - Florinia,Hiding behind a pipe at the end of the Slums heading towards Coral Ward. Hides in a southern warehouse in Coral Ward. Need to first get the Warehouse Key from daycare couple.,X,,,,,Y,N,Y,Psychic,,,Y,1,
Moon Stone Evolution,Evolution,Obsidia Slums,00010 Obsidia Slums,Any,002 - Florinia,"Only 1, see 'Stone Evolutions' entry",,,,,,Y,N,Y,,,,,,
Koffing,Cave,Obsidia Alleyway,00012 Obsidia Alleyway,Any,002 - Florinia,,X,Smoke Ball,,,,Y,N,Y,Poison,,,Y,1,
Poochyena,Cave,Obsidia Alleyway,00012 Obsidia Alleyway,Any,002 - Florinia,,,,,,,N,N,N,Dark,,,Y,1,
Trubbish,Cave,Obsidia Alleyway,00012 Obsidia Alleyway,Any,002 - Florinia,,,Silk Scarf,Black Sludge,,,N,N,N,Poison,,,Y,1,
Yungoos,Cave,Obsidia Alleyway,00012 Obsidia Alleyway,Any,002 - Florinia,,,Pecha Berry,,,,N,N,N,Normal,,,Y,1,
Minun,Event,Obsidia Alleyway,00012 Obsidia Alleyway,Any,002 - Florinia,50% Pokesnax,X,,,,,Y,N,Y,Electric,,,Y,-,Y
Plusle,Event,Obsidia Alleyway,00012 Obsidia Alleyway,Any,002 - Florinia,50% Pokesnax,X,,,,,Y,N,Y,Electric,,,Y,-,Y
Litleo,Event,Obsidia Alleyway,00012 Obsidia Alleyway,Day,002 - Florinia,"Interact in Alley, then fight Lv 45 Klinklang in Underground Railnet",X,,,,,Y,N,Y,Fire,Normal,,Y,1,
Electrike,Event,Obsidia Alleyway,00012 Obsidia Alleyway,Night,002 - Florinia,Defeat two lvl 25 Mightyena.,X,,,,,Y,N,Y,Electric,,,Y,1,
Lotad,Event,Coral Ward,00013 Coral Ward,Any,002 - Florinia,"Pokesnax, Raining",X,,,,,Y,N,Y,Water,Grass,,Y,2,
Happiny,Event,Coral Ward,00013 Coral Ward,Any,002 - Florinia,"Save daycare couple, bottom right warehouse Unique OT",X,,,,,Y,N,Y,Normal,,,Y,2,
Nosepass,Event,Coral Ward,00013 Coral Ward,Any,002 - Florinia,Trade Watchog,X,,,,,Y,N,Y,Rock,,Rock Steel,Y,1,
Grimer,Old Rod,Coral Ward,00013 Coral Ward,Any,002 - Florinia,,,Black Sludge,,,,N,N,N,Poison,,,Y,1,
Clamperl,Event,Onyx Ward,00014 Onyx Ward,Any,002 - Florinia,17% Chance - Egg received after rescuring the Daycare Couple. Building to the West of the Arcade. Talk to the Lady on the left side of the room multiple times.,O,,,,,Y,N,Y,Water,,,Y,1,
Clauncher,Event,Onyx Ward,00014 Onyx Ward,Any,002 - Florinia,17% Chance - See Clamperl Entry,O,,,,,Y,N,Y,Water,,,Y,1,
Frillish,Event,Onyx Ward,00014 Onyx Ward,Any,002 - Florinia,17% Chance - See Clamperl Entry,O,,,,,Y,N,Y,Water,Ghost,,Y,1,
Remoraid,Event,Onyx Ward,00014 Onyx Ward,Any,002 - Florinia,17% Chance - See Clamperl Entry,O,,,,,Y,N,Y,Water,,,Y,1,
Seel,Event,Onyx Ward,00014 Onyx Ward,Any,002 - Florinia,17% Chance - See Clamperl Entry,O,,,,,Y,N,Y,Water,,Water Ice,Y,1,
Spheal,Event,Onyx Ward,00014 Onyx Ward,Any,002 - Florinia,17% Chance - See Clamperl Entry,X,,,,,Y,N,Y,Ice,Water,,Y,2,
Pichu,Event,Onyx Ward,00014 Onyx Ward,Any,002 - Florinia,"Beat Fern, Rooftop during clear weather - pokesnax",X,,,,,Y,N,Y,Electric,,Electric Psychic,Y,2,
Lillipup,Event,Onyx Ward,00014 Onyx Ward,Any,002 - Florinia,"Find Lillipup once, go to Onyx Unique OT",X,,,,,Y,N,Y,Normal,,,Y,2,
Mantine,Evolution,Onyx Ward,00014 Onyx Ward,Any,002 - Florinia,Get Remoraid from Onyx Ward egg,,,,,,Y,N,Y,Water,Flying,,,0,Y
Bellsprout,Land,Onyx Ward,00014 Onyx Ward,Any,002 - Florinia,Beat Fern,,,,,,N,N,N,Grass,Poison,,Y,2,
Pidove,Land,Onyx Ward,00014 Onyx Ward,Any,002 - Florinia,Beat Fern,,,,,,N,N,N,Normal,Flying,,Y,2,
Spearow,Land,Onyx Ward,00014 Onyx Ward,Any,002 - Florinia,Beat Fern,,Sharp Beak,,,,N,N,N,Normal,Flying,,Y,1,
Tranquill,Land,Onyx Ward,00014 Onyx Ward,Any,002 - Florinia,Beat Fern,X,,,,,Y,N,Y,Normal,Flying,,,1,
Venonat,Land,Onyx Ward,00014 Onyx Ward,Any,002 - Florinia,Beat Fern,,,,,,N,N,N,Bug,Poison,,Y,1,
Slugma,Event,Onyx Arcade,00015 Onyx Arcade,Any,002 - Florinia,1000 Coins Unique OT,X,,,,,Y,N,Y,Fire,,Fire Rock,Y,1,
Mantyke,Event,Onyx Arcade,00015 Onyx Arcade,Any,002 - Florinia,1800 Coins Unique OT,X,,,,,Y,N,Y,Water,Flying,,Y,1,
Nidoran M,Event,Onyx Arcade,00015 Onyx Arcade,Any,002 - Florinia,3500 Coins Unique OT,X,,,,,Y,N,Y,Poison,,Poison Ground,Y,2,
Shinx,Event,Onyx Arcade,00015 Onyx Arcade,Any,002 - Florinia,5000 Coins Unique OT,X,,,,,Y,N,Y,Electric,,,Y,2,
Snover,Event,Onyx Arcade,00015 Onyx Arcade,Any,002 - Florinia,600 Coins Unique OT,X,,,,,Y,N,Y,Grass,Ice,,Y,1,
Huntail,Evolution,Opal Ward,00003 Opal Ward,Any,003 - Corey,See Gorebyss Entry,,,,,,Y,N,Y,Water,,,,0,Y
Gorebyss,Evolution,Opal Ward,00003 Opal Ward,Any,003 - Corey,"See Link Stone entries - 50% chance - If Onyx Egg was Clamperl, fisherman in Opal will give Deep Sea Scale, else Dept 11F and Wild Chinchou",,,,,,Y,N,Y,Water,,,,0,Y
Zangoose,Event,Lower Peridot Ward,00004 Lower Peridot Ward,Night,003 - Corey,"Weekday, In a different alley every weekday night",X,,,,,Y,N,Y,Normal,,,Y,-,Y
Snubbull,Event,Peridot Ward,00006 Peridot Ward,Any,003 - Corey,50% Unique OT,O,,,,,Y,N,Y,Fairy,,,Y,1,
Stufful,Event,Peridot Ward,00006 Peridot Ward,Any,003 - Corey,50% Unique OT,X,,,,,Y,N,Y,Normal,Fighting,,Y,1,
Petilil,Event,Obsidia Ward,00009 Obsidia Ward,Any,003 - Corey,"Pokesnax, Sun",X,,,,,Y,N,Y,Grass,,,Y,1,
Makuhita,Event,Obsidia Slums,00010 Obsidia Slums,Any,003 - Corey,50% Unique OT,X,,,,,Y,N,Y,Fighting,,,Y,1,
Beedrill,Cave,Jasper Ward,00016 Jasper Ward,Any,003 - Corey,,X,Poison Barb,,,,Y,N,Y,Bug,Poison,,,0,Y
Carnivine,Cave,Jasper Ward,00016 Jasper Ward,Any,003 - Corey,,X,,,,,Y,N,Y,Grass,,,Y,-,Y
Pidgeotto,Cave,Jasper Ward,00016 Jasper Ward,Any,003 - Corey,,X,,,,,Y,N,Y,Normal,Flying,,,1,
Pidgey,Cave,Jasper Ward,00016 Jasper Ward,Any,003 - Corey,,,,,,,N,N,N,Normal,Flying,,Y,2,
Scatterbug,Cave,Jasper Ward,00016 Jasper Ward,Any,003 - Corey,,X,,,,,Y,N,Y,Bug,,Bug Flying,Y,2,
Sewaddle,Cave,Jasper Ward,00016 Jasper Ward,Any,003 - Corey,,X,Mental Herb,,,,Y,N,Y,Bug,Grass,,Y,2,
Alolan Vulpix,Event,Jasper Ward,00016 Jasper Ward,Any,003 - Corey,Mystery Egg,O,,,,Yes,N,N,Y,Ice,,Ice Fairy,Y,1,
Axew,Event,Jasper Ward,00016 Jasper Ward,Any,003 - Corey,Mystery Egg,O,,,,,Y,N,Y,Dragon,,,Y,2,
Azurill,Event,Jasper Ward,00016 Jasper Ward,Any,003 - Corey,Mystery Egg,O,,,,Yes,Y,N,Y,Normal,Fairy,Water Fairy,Y,2,
Cottonee,Event,Jasper Ward,00016 Jasper Ward,Any,003 - Corey,Mystery Egg,O,,,,,Y,N,Y,Grass,Fairy,,Y,1,
Elekid,Event,Jasper Ward,00016 Jasper Ward,Any,003 - Corey,Mystery Egg,O,,,,,Y,N,Y,Electric,,,Y,2,
Gastly,Event,Jasper Ward,00016 Jasper Ward,Any,003 - Corey,Mystery Egg,O,,,,,Y,N,Y,Ghost,Poison,,Y,2,
Larvesta,Event,Jasper Ward,00016 Jasper Ward,Any,003 - Corey,Mystery Egg,O,,,,,Y,N,Y,Bug,Fire,,Y,1,
Litwick,Event,Jasper Ward,00016 Jasper Ward,Any,003 - Corey,Mystery Egg,O,,,,,Y,N,Y,Ghost,Fire,,Y,2,
Mareanie,Event,Jasper Ward,00016 Jasper Ward,Any,003 - Corey,Mystery Egg,O,,,,,Y,N,Y,Poison,Water,,Y,1,
Pawniard,Event,Jasper Ward,00016 Jasper Ward,Any,003 - Corey,Mystery Egg,O,,,,,Y,N,Y,Dark,Steel,,Y,1,
Rockruff,Event,Jasper Ward,00016 Jasper Ward,Any,003 - Corey,Mystery Egg,O,,,,,Y,N,Y,Rock,,,Y,1,
Shroomish,Event,Jasper Ward,00016 Jasper Ward,Any,003 - Corey,Mystery Egg,X,,,,,Y,N,Y,Grass,,Grass Fighting,Y,1,
Sneasel,Event,Jasper Ward,00016 Jasper Ward,Any,003 - Corey,Mystery Egg,O,,,,,Y,N,Y,Dark,Ice,,Y,1,
Starly,Event,Jasper Ward,00016 Jasper Ward,Any,003 - Corey,Mystery Egg,O,,,,,Y,N,Y,Normal,Flying,,Y,2,
Staryu,Event,Jasper Ward,00016 Jasper Ward,Any,003 - Corey,Mystery Egg,O,,,,Yes,Y,N,Y,Water,,Water Psychic,Y,1,
Togepi,Event,Jasper Ward,00016 Jasper Ward,Any,003 - Corey,Mystery Egg,O,,,,,Y,N,Y,Fairy,,Fairy Flying,Y,2,
Trapinch,Event,Jasper Ward,00016 Jasper Ward,Any,003 - Corey,Mystery Egg,O,,,,,Y,N,Y,Ground,,Ground Dragon,Y,2,
